id,states,states_code,state_abbv,year,population
1,Alabama,AL,AL,2018,4887681
2,Alaska,AK,AK,2018,735139
4,Arizona,AZ,AZ,2018,7158024
5,Arkansas,AR,AR,2018,3009733
6,California,CA,CA,2018,39461588
8,Colorado,CO,CO,2018,5691287
9,Connecticut,CT,CT,2018,3571520
10,Delaware,DE,DE,2018,965479
11,District of Columbia,DC,,2018,701547
12,Florida,FL,FL,2018,21244317
13,Georgia,GA,GA,2018,10511131
15,Hawaii,HI,HI,2018,1420593
16,Idaho,ID,ID,2018,1750536
17,Illinois,IL,IL,2018,12723071
18,Indiana,IN,IN,2018,6695497
19,Iowa,IA,IA,2018,3148618
20,Kansas,KS,KS,2018,2911359
21,Kentucky,KY,KY,2018,4461153
22,Louisiana,LA,LA,2018,4659690
23,Maine,ME,ME,2018,1339057
24,Maryland,MD,MD,2018,6035802
25,Massachusetts,MA,MA,2018,6882635
26,Michigan,MI,MI,2018,9984072
27,Minnesota,MN,MN,2018,5606249
28,Mississippi,MS,MS,2018,2981020
29,Missouri,MO,MO,2018,6121623
30,Montana,MT,MT,2018,1060665
31,Nebraska,NE,NE,2018,1925614
32,Nevada,NV,NV,2018,3027341
33,New Hampshire,NH,NH,2018,1353465
34,New Jersey,NJ,NJ,2018,8886025
35,New Mexico,NM,NM,2018,2092741
36,New York,NY,NY,2018,19530351
37,North Carolina,NC,NC,2018,10381615
38,North Dakota,ND,ND,2018,758080
39,Ohio,OH,OH,2018,11676341
40,Oklahoma,OK,OK,2018,3940235
41,Oregon,OR,OR,2018,4181886
42,Pennsylvania,PA,PA,2018,12800922
44,Rhode Island,RI,RI,2018,1058287
45,South Carolina,SC,SC,2018,5084156
46,South Dakota,SD,SD,2018,878698
47,Tennessee,TN,TN,2018,6771631
48,Texas,TX,TX,2018,28628666
49,Utah,UT,UT,2018,3153550
50,Vermont,VT,VT,2018,624358
51,Virginia,VA,VA,2018,8501286
53,Washington,WA,WA,2018,7523869
54,West Virginia,WV,WV,2018,1804291
55,Wisconsin,WI,WI,2018,5807406
56,Wyoming,WY,WY,2018,577601
72,Puerto Rico,PR,PR,2018,3193354
1,Alabama,AL,AL,2019,4903185
2,Alaska,AK,AK,2019,731545
4,Arizona,AZ,AZ,2019,7278717
5,Arkansas,AR,AR,2019,3017804
6,California,CA,CA,2019,39512223
8,Colorado,CO,CO,2019,5758736
9,Connecticut,CT,CT,2019,3565287
